MODEL,AccStrict@1,AccNum@1,Brier@1,ECE@1,AccStrict@2,AccNum@2,Brier@2,ECE@2,AccStrict@3,AccNum@3,Brier@3,ECE@3,AccStrict@4,AccNum@4,Brier@4,ECE@4,SolvedPct,MeanTTC,AUC_Strict
base_full,0.0281,0.0282,0.2500,0.4719,0.0751,0.0751,0.2500,0.4249,0.2487,0.2487,0.2506,0.2517,0.5595,0.5604,0.2500,0.0595,0.5974,3.3046,0.2058
main_adapter_full,0.6505,0.6510,0.1981,0.1142,0.7096,0.7096,0.2107,0.1337,0.7096,0.7096,0.2389,0.2006,0.6869,0.6869,0.3030,0.3065,0.8203,1.2671,0.6960
