model,t,n,brier,ece
main_adapter,1,1319,0.1981197710386755,0.11417739727065965
base,1,1319,0.25,0.47194844579226686
main_adapter,2,1319,0.21067475360121307,0.13366186504927988
base,2,1319,0.25,0.4249431387414708
main_adapter,3,1319,0.23888931008339648,0.200606520090978
base,3,1319,0.2505686110689924,0.25170583699772553
main_adapter,4,1319,0.3030017892351767,0.3065191827141775
base,4,1319,0.25,0.05951478392721754
