split,policy,budget_tag,params,acc,mean_steps,p95_steps,mean_tokens,p95_tokens,flip_rate,regress_at_stop_rate
dev,fixed,B1.0,k=1;thr=0.8;m=2;min_step=1,0.6458527493010252,1.0,1.0,96.0,96.0,0.0,0.0
test,fixed,B1.0,k=1;thr=0.8;m=2;min_step=1,0.6707317073170732,1.0,1.0,96.0,96.0,0.0,0.0
dev,conf,B1.0,k=4;thr=0.5;m=2;min_step=1,0.6449207828518173,1.0121155638397017,1.0,97.93849021435229,96.0,0.0027958993476234,0.0009319664492078
test,conf,B1.0,k=4;thr=0.5;m=2;min_step=1,0.6707317073170732,1.0,1.0,96.0,96.0,0.0,0.0
dev,random,B1.0,k=4;thr=0.8;m=2;min_step=1,0.6896551724137931,2.4389561975768874,4.0,394.28890959925445,800.0,0.2777260018639329,0.0671015843429636
test,random,B1.0,k=4;thr=0.8;m=2;min_step=1,0.7073170731707317,2.483739837398374,4.0,405.0731707317073,800.0,0.2723577235772357,0.0691056910569105
dev,fixed,B2.0,k=2;thr=0.8;m=2;min_step=1,0.7036346691519105,2.0,2.0,256.0,256.0,0.34762348555452,0.0754892823858341
test,fixed,B2.0,k=2;thr=0.8;m=2;min_step=1,0.7357723577235772,2.0,2.0,256.0,256.0,0.3130081300813008,0.0609756097560975
dev,conf,B2.0,k=4;thr=0.8039240506329114;m=2;min_step=1,0.7250698974836906,2.5302889095992542,3.0,377.3793103448276,480.0,0.3793103448275862,0.0773532152842497
test,conf,B2.0,k=4;thr=0.8039240506329114;m=2;min_step=1,0.7317073170731707,2.4796747967479678,3.0,365.0081300813008,480.0,0.3333333333333333,0.0772357723577235
dev,random,B2.0,k=4;thr=0.8;m=2;min_step=1,0.7101584342963654,2.508853681267474,3.0,372.7567567567568,480.0,0.3765144454799627,0.086672879776328
test,random,B2.0,k=4;thr=0.8;m=2;min_step=1,0.7317073170731707,2.516260162601626,3.0,375.1544715447154,480.0,0.3373983739837398,0.073170731707317
dev,fixed,B3.0,k=3;thr=0.8;m=2;min_step=1,0.7110904007455732,3.0,3.0,480.0,480.0,0.3979496738117428,0.097856477166822
test,fixed,B3.0,k=3;thr=0.8;m=2;min_step=1,0.7032520325203252,3.0,3.0,480.0,480.0,0.3577235772357723,0.1056910569105691
dev,conf,B3.0,k=4;thr=0.8535443037974684;m=2;min_step=1,0.7157502329916123,2.6393289841565704,3.0,401.89375582479033,480.0,0.3876980428704566,0.0876048462255358
test,conf,B3.0,k=4;thr=0.8535443037974684;m=2;min_step=1,0.7154471544715447,2.6422764227642275,3.0,401.4308943089431,480.0,0.3455284552845528,0.0934959349593495
dev,random,B3.0,k=4;thr=0.8;m=2;min_step=1,0.7092264678471575,2.621621621621621,3.0,398.10624417520967,480.0,0.3811742777260019,0.0913327120223671
test,random,B3.0,k=4;thr=0.8;m=2;min_step=1,0.7235772357723578,2.6219512195121952,3.0,398.8292682926829,480.0,0.3495934959349593,0.08130081300813
dev,fixed,B4.0,k=4;thr=0.8;m=2;min_step=1,0.6821994408201305,4.0,4.0,800.0,800.0,0.4315004659832246,0.1388630009319664
test,fixed,B4.0,k=4;thr=0.8;m=2;min_step=1,0.7073170731707317,4.0,4.0,800.0,800.0,0.3943089430894309,0.1097560975609756
dev,conf,B4.0,k=4;thr=0.9527848101265823;m=2;min_step=1,0.6821994408201305,4.0,4.0,800.0,800.0,0.4315004659832246,0.1388630009319664
test,conf,B4.0,k=4;thr=0.9527848101265823;m=2;min_step=1,0.7073170731707317,4.0,4.0,800.0,800.0,0.3943089430894309,0.1097560975609756
dev,random,B4.0,k=4;thr=0.8;m=2;min_step=1,0.6821994408201305,4.0,4.0,800.0,800.0,0.4315004659832246,0.1388630009319664
test,random,B4.0,k=4;thr=0.8;m=2;min_step=1,0.7073170731707317,4.0,4.0,800.0,800.0,0.3943089430894309,0.1097560975609756
test,stability,B1.0,k=4;thr=0.8;m=2;min_step=2,0.7276422764227642,2.4471544715447155,4.0,369.0406504065041,800.0,0.3130081300813008,0.08130081300813
test,stability,B2.0,k=4;thr=0.8;m=2;min_step=2,0.7276422764227642,2.4471544715447155,4.0,369.0406504065041,800.0,0.3130081300813008,0.08130081300813
test,stability,B3.0,k=4;thr=0.8;m=3;min_step=2,0.7317073170731707,3.3577235772357725,4.0,594.4715447154472,800.0,0.3577235772357723,0.0853658536585365
test,stability,B4.0,k=4;thr=0.8;m=4;min_step=2,0.7073170731707317,4.0,4.0,800.0,800.0,0.3943089430894309,0.1097560975609756
