seed,split,budget_tag,policy,acc,mean_tokens,mean_steps
2,dev,B1,fixed,0.6354166666666666,96.0,1.0
2,test,B1,fixed,0.6539923954372624,96.0,1.0
2,dev,B1,conf,0.6354166666666666,96.0,1.0
2,test,B1,conf,0.6539923954372624,96.0,1.0
2,dev,B1,random,0.6354166666666666,96.0,1.0
2,test,B1,random,0.6539923954372624,96.0,1.0
2,dev,B1,stability,0.6354166666666666,96.0,1.0
2,test,B1,stability,0.6539923954372624,96.0,1.0
2,dev,B1,oracle,0.8229166666666666,268.969696969697,1.790719696969697
2,test,B1,oracle,0.8212927756653993,257.8250950570342,1.741444866920152
2,dev,B2,fixed,0.6903409090909091,256.0,2.0
2,test,B2,fixed,0.688212927756654,256.0,2.0
2,dev,B2,conf,0.7191887139756586,255.99999999999994,1.7363105785873236
2,test,B2,conf,0.6995887469018129,253.45255191797455,1.7262116109194072
2,dev,B2,random,0.6512351894032914,255.99999999998673,1.7363105785872326
2,test,B2,random,0.6634281523267102,256.0000000000033,1.736310578587324
2,dev,B2,stability,0.675495835395019,256.0,1.8228599703117268
2,test,B2,stability,0.6857802954905056,252.71434726248913,1.8105914513577024
2,dev,B2,oracle,0.8229166666666666,268.969696969697,1.790719696969697
2,test,B2,oracle,0.8212927756653993,257.8250950570342,1.741444866920152
2,dev,B3,fixed,0.6799242424242424,480.0,3.0
2,test,B3,fixed,0.6806083650190115,480.0,3.0
2,dev,B3,conf,0.70014972938817,480.0,2.7961473872908598
2,test,B3,conf,0.6826008569783757,468.6324909481803,2.753978951287364
2,dev,B3,random,0.6776541844306406,480.0000000000071,2.796147387290842
2,test,B3,random,0.6793462556214463,479.9999999999981,2.79614738729084
2,dev,B3,stability,0.7027088312305858,480.0,2.9131609296552234
2,test,B3,stability,0.710850720744246,474.2781205711404,2.893453985576592
2,dev,B3,oracle,0.8229166666666666,268.969696969697,1.790719696969697
2,test,B3,oracle,0.8212927756653993,257.8250950570342,1.741444866920152
2,dev,B4,fixed,0.6695075757575758,800.0,4.0
2,test,B4,fixed,0.6730038022813688,800.0,4.0
2,dev,B4,conf,0.6695075757575758,800.0,4.0
2,test,B4,conf,0.6730038022813688,800.0,4.0
2,dev,B4,random,0.6695075757575758,800.0,4.0
2,test,B4,random,0.6730038022813688,800.0,4.0
2,dev,B4,stability,0.6695075757575758,800.0,4.0
2,test,B4,stability,0.6730038022813688,800.0,4.0
2,dev,B4,oracle,0.8229166666666666,268.969696969697,1.790719696969697
2,test,B4,oracle,0.8212927756653993,257.8250950570342,1.741444866920152
