budget_tag,dev/fixed,dev/conf,dev/random,dev/stability,test/fixed,test/conf,test/random,test/stability
B1.0,0.0,0.0019065776930409,0.2774070543374642,0.342230695900858,0.0,0.0037037037037037,0.2777777777777778,0.337037037037037
B2.0,0.342230695900858,0.3708293612964728,0.3660629170638703,0.342230695900858,0.337037037037037,0.3703703703703703,0.3555555555555555,0.337037037037037
B3.0,0.3927550047664442,0.3822688274547188,0.3717826501429933,0.3927550047664442,0.3814814814814815,0.3703703703703703,0.3555555555555555,0.3814814814814815
B4.0,0.4261201143946616,0.4261201143946616,0.4261201143946616,0.4261201143946616,0.4185185185185185,0.4185185185185185,0.4185185185185185,0.4185185185185185
