budget_tag,dev/fixed,dev/conf,dev/random,dev/stability,test/fixed,test/conf,test/random,test/stability
B1.0,0.6434699714013346,0.6434699714013346,0.6796949475691134,0.7244995233555768,0.6777777777777778,0.674074074074074,0.7185185185185186,0.7407407407407407
B2.0,0.7063870352716873,0.7216396568160153,0.7063870352716873,0.7244995233555768,0.7222222222222222,0.7444444444444445,0.7333333333333333,0.7407407407407407
B3.0,0.7054337464251669,0.7092469018112488,0.7044804575786463,0.6997140133460439,0.725925925925926,0.7407407407407407,0.7333333333333333,0.7296296296296296
B4.0,0.6796949475691134,0.6796949475691134,0.6796949475691134,0.6796949475691134,0.7148148148148148,0.7148148148148148,0.7148148148148148,0.7148148148148148
