budget_tag,dev/fixed,dev/conf,dev/random,dev/stability,test/fixed,test/conf,test/random,test/stability
B1.0,1.0,1.0085795996186844,2.4394661582459487,2.4728312678741657,1.0,1.0148148148148148,2.466666666666667,2.462962962962963
B2.0,2.0,2.514775977121068,2.493803622497617,2.4728312678741657,2.0,2.5444444444444443,2.4814814814814814,2.462962962962963
B3.0,3.0,2.637750238322212,2.619637750238322,3.3927550047664443,3.0,2.6481481481481484,2.6185185185185187,3.3814814814814813
B4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
