budget_tag,dev/fixed,dev/conf,dev/random,dev/stability,test/fixed,test/conf,test/random,test/stability
B1.0,0.0,0.0,0.0676835081029551,0.0686367969494756,0.0,0.0037037037037037,0.0777777777777777,0.1037037037037037
B2.0,0.0667302192564347,0.0724499523355576,0.0753098188751191,0.0686367969494756,0.0962962962962963,0.0962962962962963,0.0962962962962963,0.1037037037037037
B3.0,0.094375595805529,0.0857959961868446,0.0810295519542421,0.109628217349857,0.1185185185185185,0.1,0.0962962962962963,0.1185185185185185
B4.0,0.1325071496663489,0.1325071496663489,0.1325071496663489,0.1325071496663489,0.137037037037037,0.137037037037037,0.137037037037037,0.137037037037037
