budget_tag,dev/fixed,dev/conf,dev/random,dev/stability,test/fixed,test/conf,test/random,test/stability
B1.0,96.0,97.3727359389895,394.4327931363203,374.4518589132507,96.0,98.37037037037037,400.23703703703706,371.7925925925926
B2.0,256.0,373.7807435653002,369.2659675881792,374.4518589132507,256.0,380.0888888888889,367.05185185185184,371.7925925925926
B3.0,480.0,401.3269780743565,397.4528122020972,605.6816015252622,480.0,403.6740740740741,397.7481481481482,602.074074074074
B4.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0
